OBJECTID,FIPS,County,Tract_Name,Population_Total,Education_Population_AgeOver24,Education_Population_AgeOver24_LessThan9th,Percent_Education_Population_AgeOver24_LessThan9th,Education_Population_AgeOver24_No_High_School_Diploma,Percent_Education_Population_AgeOver24_No_High_School_Diploma,Education_Population_AgeOver24_High_School_Graduate,Percent_Education_Population_AgeOver24_High_School_Graduate,Education_Population_AgeOver24_Some_College_NoDegree,Percent_Education_Population_AgeOver24_Some_College_NoDegree,Education_Population_AgeOver24_Associates_Degree,Percent_Education_Population_AgeOver24_Associates_Degree,Education_Population_AgeOver24_Bachelors_Degree,Percent_Education_Population_AgeOver24_Bachelors_Degree,Education_Population_AgeOver24_Graduate_Degree_Higher,Percent_Education_Population_AgeOver24_Graduate_Degree_Higher,Education_Population_AgeOver24_HSD_Higher,Percent_Education_Population_AgeOver24_HSD_Higher,Education_Population_AgeOver24_Bachelors_Higher,Percent_Education_Population_AgeOver24_Bachelors_Higher,Education_Population_AgeOver24_LessThan9th_Or_No_High_School_Dip,Percent_Education_Population_AgeOver24_LessThan9th_Or_No_High_Sc
1,08043979000,FREMONT,"Census Tract 9790, Fremont County, Colorado",3456,2852,115,4,115,4,820,28.8,774,27.1,301,10.6,409,14.3,318,11.2,2622,91.9,727,25.5,230,8
2,08045951600,GARFIELD,"Census Tract 9516, Garfield County, Colorado",3806,2544,105,4.1,61,2.4,504,19.8,482,18.9,224,8.8,827,32.5,341,13.4,2378,93.5,1168,45.9,166,6.5
3,08069002803,LARIMER,"Census Tract 28.03, Larimer County, Colorado",53,45,0,0,0,0,0,0,23,51.1,0,0,22,48.9,0,0,45,100,22,48.9,0,0
4,08125963200,YUMA,"Census Tract 9632, Yuma County, Colorado",5581,3666,232,6.3,139,3.8,1491,40.7,838,22.9,302,8.2,454,12.4,210,5.7,3295,89.9,664,18.1,371,10.1
5,08069002401,LARIMER,"Census Tract 24.01, Larimer County, Colorado",1352,1280,0,0,21,1.6,271,21.2,355,27.7,108,8.4,340,26.6,185,14.5,1259,98.4,525,41,21,1.6
6,08069002402,LARIMER,"Census Tract 24.02, Larimer County, Colorado",2700,2240,9,0.4,33,1.5,309,13.8,544,24.3,185,8.3,735,32.8,425,19,2198,98.1,1160,51.8,42,1.9
7,08103951200,RIO BLANCO,"Census Tract 9512, Rio Blanco County, Colorado",2688,1790,8,0.4,122,6.8,427,23.9,586,32.7,189,10.6,307,17.2,151,8.4,1660,92.7,458,25.6,130,7.2
8,08103951100,RIO BLANCO,"Census Tract 9511, Rio Blanco County, Colorado",3696,2423,66,2.7,146,6,901,37.2,566,23.4,244,10.1,388,16,112,4.6,2211,91.3,500,20.6,212,8.7
9,08049000201,GRAND,"Census Tract 2.01, Grand County, Colorado",5225,4331,41,0.9,139,3.2,889,20.5,1126,26,433,10,1188,27.4,515,11.9,4151,95.8,1703,39.3,180,4.1
10,08049000202,GRAND,"Census Tract 2.02, Grand County, Colorado",6646,4835,75,1.6,200,4.1,1226,25.4,831,17.2,297,6.1,1603,33.2,603,12.5,4560,94.3,2206,45.6,275,5.7
11,08049000100,GRAND,"Census Tract 1, Grand County, Colorado",3432,2415,80,3.3,94,3.9,985,40.8,603,25,166,6.9,320,13.3,167,6.9,2241,92.8,487,20.2,174,7.2
12,08081000600,MOFFAT,"Census Tract 6, Moffat County, Colorado",1274,835,38,4.6,73,8.7,307,36.8,243,29.1,61,7.3,87,10.4,26,3.1,724,86.7,113,13.5,111,13.3
13,08081000500,MOFFAT,"Census Tract 5, Moffat County, Colorado",4558,3090,40,1.3,219,7.1,1165,37.7,761,24.6,274,8.9,375,12.1,256,8.3,2831,91.6,631,20.4,259,8.4
14,08081000400,MOFFAT,"Census Tract 4, Moffat County, Colorado",4602,3120,140,4.5,425,13.6,1244,39.9,651,20.9,234,7.5,301,9.6,125,4,2555,81.9,426,13.7,565,18.1
15,08081000300,MOFFAT,"Census Tract 3, Moffat County, Colorado",2693,1848,24,1.3,45,2.4,731,39.6,454,24.6,201,10.9,226,12.2,167,9,1779,96.3,393,21.3,69,3.7
16,08057955600,JACKSON,"Census Tract 9556, Jackson County, Colorado",1261,974,46,4.7,77,7.9,274,28.1,315,32.3,67,6.9,168,17.2,27,2.8,851,87.4,195,20,123,12.6
17,08121924100,WASHINGTON,"Census Tract 9241, Washington County, Colorado",2043,1453,34,2.3,89,6.1,413,28.4,487,33.5,141,9.7,215,14.8,74,5.1,1330,91.5,289,19.9,123,8.4
18,08107000800,ROUTT,"Census Tract 8, Routt County, Colorado",2095,1522,34,2.2,26,1.7,404,26.5,284,18.7,134,8.8,387,25.4,253,16.6,1462,96.1,640,42,60,3.9
19,08107000700,ROUTT,"Census Tract 7, Routt County, Colorado",4919,3728,50,1.3,0,0,347,9.3,505,13.5,181,4.9,1639,44,1006,27,3678,98.7,2645,70.9,50,1.3
20,08107000500,ROUTT,"Census Tract 5, Routt County, Colorado",4488,3204,52,1.6,56,1.7,511,15.9,712,22.2,244,7.6,1086,33.9,543,16.9,3096,96.6,1629,50.8,108,3.3
21,08107000200,ROUTT,"Census Tract 2, Routt County, Colorado",2293,1513,9,0.6,40,2.6,542,35.8,391,25.8,190,12.6,183,12.1,158,10.4,1464,96.8,341,22.5,49,3.2
22,08107000400,ROUTT,"Census Tract 4, Routt County, Colorado",3949,2701,0,0,9,0.3,634,23.5,536,19.8,245,9.1,797,29.5,480,17.8,2692,99.7,1277,47.3,9,0.3
23,08107000600,ROUTT,"Census Tract 6, Routt County, Colorado",3017,2393,69,2.9,108,4.5,337,14.1,393,16.4,149,6.2,897,37.5,440,18.4,2216,92.6,1337,55.9,177,7.4
24,08107000300,ROUTT,"Census Tract 3, Routt County, Colorado",2323,1844,34,1.8,77,4.2,519,28.1,463,25.1,59,3.2,398,21.6,294,15.9,1733,94,692,37.5,111,6
25,08107000100,ROUTT,"Census Tract 1, Routt County, Colorado",1988,1635,0,0,24,1.5,457,28,270,16.5,204,12.5,424,25.9,256,15.7,1611,98.5,680,41.6,24,1.5
26,08051963900,GUNNISON,"Census Tract 9639, Gunnison County, Colorado",1033,860,24,2.8,43,5,218,25.3,197,22.9,69,8,214,24.9,95,11,793,92.2,309,35.9,67,7.8
27,08051963700,GUNNISON,"Census Tract 9637, Gunnison County, Colorado",6622,3392,33,1,21,0.6,591,17.4,624,18.4,199,5.9,1301,38.4,623,18.4,3338,98.4,1924,56.7,54,1.6
28,08051963600,GUNNISON,"Census Tract 9636, Gunnison County, Colorado",4437,3061,75,2.5,37,1.2,568,18.6,590,19.3,182,5.9,1042,34,567,18.5,2949,96.3,1609,52.6,112,3.7
29,08051963800,GUNNISON,"Census Tract 9638, Gunnison County, Colorado",4710,3288,0,0,45,1.4,310,9.4,643,19.6,173,5.3,1469,44.7,648,19.7,3243,98.6,2117,64.4,45,1.4
30,08021974900,CONEJOS,"Census Tract 9749, Conejos County, Colorado",4366,2876,80,2.8,104,3.6,1015,35.3,800,27.8,192,6.7,433,15.1,252,8.8,2692,93.6,685,23.8,184,6.4
31,08021974800,CONEJOS,"Census Tract 9748, Conejos County, Colorado",3762,2410,194,8,258,10.7,779,32.3,616,25.6,139,5.8,311,12.9,113,4.7,1958,81.2,424,17.6,452,18.7
32,08037000703,EAGLE,"Census Tract 7.03, Eagle County, Colorado",2701,2335,6,0.3,0,0,200,8.6,431,18.5,232,9.9,961,41.2,505,21.6,2329,99.7,1466,62.8,6,0.3
33,08037000301,EAGLE,"Census Tract 3.01, Eagle County, Colorado",6964,5012,422,8.4,182,3.6,937,18.7,840,16.8,473,9.4,1714,34.2,444,8.9,4408,87.9,2158,43.1,604,12
34,08037000702,EAGLE,"Census Tract 7.02, Eagle County, Colorado",1453,1167,5,0.4,9,0.8,54,4.6,124,10.6,151,12.9,470,40.3,354,30.3,1153,98.8,824,70.6,14,1.2
35,08037000402,EAGLE,"Census Tract 4.02, Eagle County, Colorado",4800,3085,376,12.2,411,13.3,230,7.5,247,8,190,6.2,885,28.7,746,24.2,2298,74.5,1631,52.9,787,25.5
36,08037000501,EAGLE,"Census Tract 5.01, Eagle County, Colorado",462,444,0,0,0,0,65,14.6,89,20,17,3.8,170,38.3,103,23.2,444,100,273,61.5,0,0
37,08037000502,EAGLE,"Census Tract 5.02, Eagle County, Colorado",4224,2815,112,4,157,5.6,422,15,389,13.8,190,6.7,1108,39.4,437,15.5,2546,90.4,1545,54.9,269,9.6
38,08037000302,EAGLE,"Census Tract 3.02, Eagle County, Colorado",2253,1853,63,3.4,142,7.7,218,11.8,346,18.7,100,5.4,610,32.9,374,20.2,1648,88.9,984,53.1,205,11.1
39,08037000403,EAGLE,"Census Tract 4.03, Eagle County, Colorado",8857,5818,274,4.7,305,5.2,733,12.6,880,15.1,908,15.6,2050,35.2,668,11.5,5239,90,2718,46.7,579,9.9
40,08037000701,EAGLE,"Census Tract 7.01, Eagle County, Colorado",1693,1262,0,0,0,0,58,4.6,291,23.1,43,3.4,785,62.2,85,6.7,1262,100,870,68.9,0,0
41,08037000401,EAGLE,"Census Tract 4.01, Eagle County, Colorado",4387,2932,362,12.3,207,7.1,530,18.1,396,13.5,193,6.6,781,26.6,463,15.8,2363,80.6,1244,42.4,569,19.4
42,08037000503,EAGLE,"Census Tract 5.03, Eagle County, Colorado",6539,4244,177,4.2,56,1.3,771,18.2,789,18.6,530,12.5,1544,36.4,377,8.9,4011,94.5,1921,45.3,233,5.5
43,08037000100,EAGLE,"Census Tract 1, Eagle County, Colorado",1463,900,82,9.1,52,5.8,224,24.9,241,26.8,90,10,161,17.9,50,5.6,766,85.1,211,23.4,134,14.9
44,08037000600,EAGLE,"Census Tract 6, Eagle County, Colorado",1446,1287,19,1.5,36,2.8,265,20.6,260,20.2,86,6.7,510,39.6,111,8.6,1232,95.7,621,48.3,55,4.3
45,08037000200,EAGLE,"Census Tract 2, Eagle County, Colorado",7439,5351,586,11,481,9,1147,21.4,977,18.3,465,8.7,1302,24.3,393,7.3,4284,80.1,1695,31.7,1067,20
46,08045951901,GARFIELD,"Census Tract 9519.01, Garfield County, Colorado",4936,3153,119,3.8,152,4.8,1048,33.2,860,27.3,504,16,344,10.9,126,4,2882,91.4,470,14.9,271,8.6
47,08045951701,GARFIELD,"Census Tract 9517.01, Garfield County, Colorado",4162,2845,121,4.3,149,5.2,576,20.2,553,19.4,294,10.3,695,24.4,457,16.1,2575,90.5,1152,40.5,270,9.5
48,08045951902,GARFIELD,"Census Tract 9519.02, Garfield County, Colorado",7182,4652,94,2,250,5.4,1435,30.8,1006,21.6,451,9.7,998,21.5,418,9,4308,92.6,1416,30.4,344,7.4
49,08045951702,GARFIELD,"Census Tract 9517.02, Garfield County, Colorado",3183,2343,239,10.2,96,4.1,669,28.6,441,18.8,126,5.4,454,19.4,318,13.6,2008,85.7,772,32.9,335,14.3
50,08045952001,GARFIELD,"Census Tract 9520.01, Garfield County, Colorado",5347,3328,455,13.7,368,11.1,1140,34.3,641,19.3,388,11.7,230,6.9,106,3.2,2505,75.3,336,10.1,823,24.8
51,08045952002,GARFIELD,"Census Tract 9520.02, Garfield County, Colorado",8604,5546,315,5.7,299,5.4,1929,34.8,1304,23.5,675,12.2,698,12.6,326,5.9,4932,88.9,1024,18.5,614,11.1
52,08045951803,GARFIELD,"Census Tract 9518.03, Garfield County, Colorado",6379,4310,172,4,491,11.4,722,16.8,806,18.7,151,3.5,1378,32,590,13.7,3647,84.6,1968,45.7,663,15.4
53,08045951804,GARFIELD,"Census Tract 9518.04, Garfield County, Colorado",4533,3485,246,7.1,168,4.8,531,15.2,737,21.1,231,6.6,1106,31.7,466,13.4,3071,88.1,1572,45.1,414,11.9
54,08045951802,GARFIELD,"Census Tract 9518.02, Garfield County, Colorado",4109,2662,93,3.5,164,6.2,502,18.9,396,14.9,235,8.8,715,26.9,557,20.9,2405,90.3,1272,47.8,257,9.7
55,08045952100,GARFIELD,"Census Tract 9521, Garfield County, Colorado",6814,4430,251,5.7,277,6.3,1567,35.4,805,18.2,501,11.3,682,15.4,347,7.8,3902,88.1,1029,23.2,528,12
56,08067970704,LA PLATA,"Census Tract 9707.04, La Plata County, Colorado",3955,3259,43,1.3,105,3.2,391,12,662,20.3,212,6.5,1100,33.8,746,22.9,3111,95.5,1846,56.6,148,4.5
57,08067970703,LA PLATA,"Census Tract 9707.03, La Plata County, Colorado",6047,4564,49,1.1,171,3.7,811,17.8,1066,23.4,123,2.7,1493,32.7,851,18.6,4344,95.2,2344,51.4,220,4.8
58,08067970701,LA PLATA,"Census Tract 9707.01, La Plata County, Colorado",4995,3534,12,0.3,109,3.1,658,18.6,861,24.4,263,7.4,885,25,746,21.1,3413,96.6,1631,46.2,121,3.4
59,08067940300,LA PLATA,"Census Tract 9403, La Plata County, Colorado",6378,4417,96,2.2,269,6.1,1541,34.9,1173,26.6,301,6.8,733,16.6,304,6.9,4052,91.7,1037,23.5,365,8.3
60,08097000500,PITKIN,"Census Tract 5, Pitkin County, Colorado",2781,1934,5,0.3,6,0.3,168,8.7,400,20.7,141,7.3,843,43.6,371,19.2,1923,99.4,1214,62.8,11,0.6
61,08097000401,PITKIN,"Census Tract 4.01, Pitkin County, Colorado",4779,4029,7,0.2,19,0.5,546,13.6,538,13.4,162,4,1875,46.5,882,21.9,4003,99.4,2757,68.4,26,0.7
62,08097000402,PITKIN,"Census Tract 4.02, Pitkin County, Colorado",2926,2034,34,1.7,36,1.8,291,14.3,89,4.4,148,7.3,1001,49.2,435,21.4,1964,96.6,1436,70.6,70,3.5
63,08097000100,PITKIN,"Census Tract 1, Pitkin County, Colorado",7440,5683,246,4.3,72,1.3,1327,23.4,804,14.1,325,5.7,2498,44,411,7.2,5365,94.4,2909,51.2,318,5.6
64,08117000402,SUMMIT,"Census Tract 4.02, Summit County, Colorado",6025,4831,0,0,202,4.2,473,9.8,1203,24.9,169,3.5,1989,41.2,795,16.5,4629,95.8,2784,57.6,202,4.2
65,08117000401,SUMMIT,"Census Tract 4.01, Summit County, Colorado",4144,2929,65,2.2,0,0,620,21.2,401,13.7,142,4.8,1120,38.2,581,19.8,2864,97.8,1701,58.1,65,2.2
66,08117000100,SUMMIT,"Census Tract 1, Summit County, Colorado",8332,6556,414,6.3,366,5.6,1223,18.7,1060,16.2,372,5.7,2393,36.5,728,11.1,5776,88.1,3121,47.6,780,11.9
67,08117000200,SUMMIT,"Census Tract 2, Summit County, Colorado",7665,5325,337,6.3,220,4.1,971,18.2,912,17.1,242,4.5,1929,36.2,714,13.4,4768,89.5,2643,49.6,557,10.4
68,08117000300,SUMMIT,"Census Tract 3, Summit County, Colorado",4483,3718,59,1.6,0,0,907,24.4,345,9.3,424,11.4,1364,36.7,619,16.6,3659,98.4,1983,53.3,59,1.6
69,08067971100,LA PLATA,"Census Tract 9711, La Plata County, Colorado",4214,2893,0,0,26,0.9,512,17.7,607,21,257,8.9,938,32.4,553,19.1,2867,99.1,1491,51.5,26,0.9
70,08067971000,LA PLATA,"Census Tract 9710, La Plata County, Colorado",3297,2260,8,0.4,39,1.7,259,11.5,409,18.1,143,6.3,905,40,497,22,2213,97.9,1402,62,47,2.1
71,08067970900,LA PLATA,"Census Tract 9709, La Plata County, Colorado",4055,3179,37,1.2,114,3.6,525,16.5,676,21.3,241,7.6,1101,34.6,485,15.3,3028,95.3,1586,49.9,151,4.8
72,08067970800,LA PLATA,"Census Tract 9708, La Plata County, Colorado",7187,4317,0,0,118,2.7,451,10.4,1369,31.7,181,4.2,1194,27.7,1004,23.3,4199,97.3,2198,50.9,118,2.7
73,08067940400,LA PLATA,"Census Tract 9404, La Plata County, Colorado",5868,4359,104,2.4,208,4.8,1137,26.1,1006,23.1,406,9.3,989,22.7,509,11.7,4047,92.8,1498,34.4,312,7.2
74,08067970600,LA PLATA,"Census Tract 9706, La Plata County, Colorado",9621,6991,145,2.1,118,1.7,1673,23.9,1929,27.6,571,8.2,1686,24.1,869,12.4,6728,96.2,2555,36.5,263,3.8
75,08065961900,LAKE,"Census Tract 9619, Lake County, Colorado",2102,1363,275,20.2,99,7.3,449,32.9,232,17,59,4.3,196,14.4,53,3.9,989,72.6,249,18.3,374,27.5
76,08065961700,LAKE,"Census Tract 9617, Lake County, Colorado",5649,4200,209,5,322,7.7,984,23.4,779,18.5,356,8.5,1119,26.6,431,10.3,3669,87.4,1550,36.9,531,12.7
77,08029965100,DELTA,"Census Tract 9651, Delta County, Colorado",3970,2810,186,6.6,259,9.2,1058,37.7,578,20.6,232,8.3,357,12.7,140,5,2365,84.2,497,17.7,445,15.8
78,08029965200,DELTA,"Census Tract 9652, Delta County, Colorado",4550,3233,26,0.8,124,3.8,1046,32.4,696,21.5,384,11.9,495,15.3,462,14.3,3083,95.4,957,29.6,150,4.6
79,08029964600,DELTA,"Census Tract 9646, Delta County, Colorado",3407,2582,54,2.1,90,3.5,825,32,553,21.4,174,6.7,537,20.8,349,13.5,2438,94.4,886,34.3,144,5.6
80,08029965000,DELTA,"Census Tract 9650, Delta County, Colorado",4497,3198,66,2.1,132,4.1,1308,40.9,852,26.6,208,6.5,413,12.9,219,6.8,3000,93.8,632,19.8,198,6.2
81,08029964900,DELTA,"Census Tract 9649, Delta County, Colorado",5849,3985,133,3.3,215,5.4,1733,43.5,924,23.2,246,6.2,513,12.9,221,5.5,3637,91.3,734,18.4,348,8.7
82,08029964800,DELTA,"Census Tract 9648, Delta County, Colorado",4117,3191,195,6.1,366,11.5,1541,48.3,501,15.7,155,4.9,320,10,113,3.5,2630,82.4,433,13.6,561,17.6
83,08029964700,DELTA,"Census Tract 9647, Delta County, Colorado",4175,3294,68,2.1,157,4.8,1033,31.4,959,29.1,381,11.6,409,12.4,287,8.7,3069,93.2,696,21.1,225,6.9
84,08003960300,ALAMOSA,"Census Tract 9603, Alamosa County, Colorado",5455,3172,367,11.6,266,8.4,912,28.8,940,29.6,299,9.4,297,9.4,91,2.9,2539,80,388,12.2,633,20
85,08003960200,ALAMOSA,"Census Tract 9602, Alamosa County, Colorado",6163,3473,174,5,97,2.8,990,28.5,752,21.7,232,6.7,584,16.8,644,18.5,3202,92.2,1228,35.4,271,7.8
86,08113968102,SAN MIGUEL,"Census Tract 9681.02, San Miguel County, Colorado",2107,1442,24,1.7,12,0.8,191,13.2,228,15.8,85,5.9,650,45.1,252,17.5,1406,97.5,902,62.6,36,2.5
87,08113968101,SAN MIGUEL,"Census Tract 9681.01, San Miguel County, Colorado",1965,1450,10,0.7,48,3.3,99,6.8,186,12.8,19,1.3,793,54.7,295,20.3,1392,96,1088,75,58,4
88,08113968103,SAN MIGUEL,"Census Tract 9681.03, San Miguel County, Colorado",2140,1762,0,0,15,0.9,282,16,287,16.3,104,5.9,781,44.3,293,16.6,1747,99.1,1074,61,15,0.9
89,08113968200,SAN MIGUEL,"Census Tract 9682, San Miguel County, Colorado",1837,1395,15,1.1,69,4.9,353,25.3,310,22.2,119,8.5,371,26.6,158,11.3,1311,94,529,37.9,84,6
90,08079973600,MINERAL,"Census Tract 9736, Mineral County, Colorado",824,697,8,1.1,10,1.4,110,15.8,193,27.7,52,7.5,212,30.4,112,16.1,679,97.4,324,46.5,18,2.5
91,08083941100,MONTEZUMA,"Census Tract 9411, Montezuma County, Colorado",1815,934,35,3.7,126,13.5,525,56.2,156,16.7,28,3,52,5.6,12,1.3,773,82.8,64,6.9,161,17.2
92,08083969400,MONTEZUMA,"Census Tract 9694, Montezuma County, Colorado",3628,2425,68,2.8,95,3.9,789,32.5,683,28.2,211,8.7,393,16.2,186,7.7,2262,93.3,579,23.9,163,6.7
93,08083969100,MONTEZUMA,"Census Tract 9691, Montezuma County, Colorado",3718,2800,74,2.6,110,3.9,546,19.5,534,19.1,351,12.5,710,25.4,475,17,2616,93.4,1185,42.3,184,6.5
94,08083969200,MONTEZUMA,"Census Tract 9692, Montezuma County, Colorado",2632,1998,39,2,179,9,583,29.2,641,32.1,70,3.5,315,15.8,171,8.6,1780,89.1,486,24.3,218,11
95,08083969000,MONTEZUMA,"Census Tract 9690, Montezuma County, Colorado",3407,2530,90,3.6,174,6.9,524,20.7,620,24.5,173,6.8,624,24.7,325,12.8,2266,89.6,949,37.5,264,10.5
96,08083969600,MONTEZUMA,"Census Tract 9696, Montezuma County, Colorado",4858,3784,61,1.6,273,7.2,1486,39.3,1030,27.2,149,3.9,515,13.6,270,7.1,3450,91.2,785,20.7,334,8.8
97,08083969300,MONTEZUMA,"Census Tract 9693, Montezuma County, Colorado",5973,4141,130,3.1,398,9.6,996,24.1,944,22.8,211,5.1,891,21.5,571,13.8,3613,87.2,1462,35.3,528,12.7
98,08003960000,ALAMOSA,"Census Tract 9600, Alamosa County, Colorado",1868,1262,101,8,93,7.4,338,26.8,345,27.3,87,6.9,221,17.5,77,6.1,1068,84.6,298,23.6,194,15.4
99,08003960100,ALAMOSA,"Census Tract 9601, Alamosa County, Colorado",2621,1712,124,7.2,42,2.5,502,29.3,382,22.3,167,9.8,300,17.5,195,11.4,1546,90.3,495,28.9,166,9.7
100,08091967600,OURAY,"Census Tract 9676, Ouray County, Colorado",4796,3851,0,0,86,2.2,613,15.9,1023,26.6,289,7.5,1081,28.1,759,19.7,3765,97.8,1840,47.8,86,2.2
101,08033000100,DOLORES,"Census Tract 1, Dolores County, Colorado",1857,1398,13,0.9,73,5.2,506,36.2,344,24.6,125,8.9,189,13.5,148,10.6,1312,93.8,337,24.1,86,6.1
102,08109977600,SAGUACHE,"Census Tract 9776, Saguache County, Colorado",3368,2824,82,2.9,133,4.7,782,27.7,774,27.4,194,6.9,555,19.7,304,10.8,2609,92.4,859,30.4,215,7.6
103,08109977700,SAGUACHE,"Census Tract 9777, Saguache County, Colorado",3224,2005,395,19.7,208,10.4,693,34.6,424,21.1,77,3.8,172,8.6,36,1.8,1402,69.9,208,10.4,603,30.1
104,08105976700,RIO GRANDE,"Census Tract 9767, Rio Grande County, Colorado",5079,3199,173,5.4,221,6.9,1208,37.8,740,23.1,107,3.3,506,15.8,244,7.6,2805,87.7,750,23.4,394,12.3
105,08105977000,RIO GRANDE,"Census Tract 9770, Rio Grande County, Colorado",4421,3087,141,4.6,171,5.5,796,25.8,809,26.2,223,7.2,694,22.5,253,8.2,2775,89.9,947,30.7,312,10.1
106,08105976800,RIO GRANDE,"Census Tract 9768, Rio Grande County, Colorado",1805,1369,146,10.7,140,10.2,455,33.2,306,22.4,146,10.7,129,9.4,47,3.4,1083,79.1,176,12.9,286,20.9
107,08077001706,MESA,"Census Tract 17.06, Mesa County, Colorado",6189,3788,310,8.2,339,8.9,1304,34.4,1243,32.8,232,6.1,330,8.7,30,0.8,3139,82.9,360,9.5,649,17.1
108,08077001707,MESA,"Census Tract 17.07, Mesa County, Colorado",5826,4028,82,2,288,7.1,1666,41.4,914,22.7,280,7,578,14.3,220,5.5,3658,90.8,798,19.8,370,9.1
109,08077001001,MESA,"Census Tract 10.01, Mesa County, Colorado",5613,4182,116,2.8,216,5.2,1080,25.8,954,22.8,239,5.7,933,22.3,644,15.4,3850,92.1,1577,37.7,332,8
110,08077000602,MESA,"Census Tract 6.02, Mesa County, Colorado",4627,2892,77,2.7,275,9.5,729,25.2,676,23.4,346,12,561,19.4,228,7.9,2540,87.8,789,27.3,352,12.2
111,08077000500,MESA,"Census Tract 5, Mesa County, Colorado",3117,971,47,4.8,90,9.3,357,36.8,228,23.5,36,3.7,172,17.7,41,4.2,834,85.9,213,21.9,137,14.1
112,08077000400,MESA,"Census Tract 4, Mesa County, Colorado",3669,2321,117,5,277,11.9,516,22.2,549,23.7,252,10.9,390,16.8,220,9.5,1927,83,610,26.3,394,16.9
113,08077001302,MESA,"Census Tract 13.02, Mesa County, Colorado",5149,3718,67,1.8,248,6.7,1170,31.5,1025,27.6,284,7.6,678,18.2,246,6.6,3403,91.5,924,24.9,315,8.5
114,08077001102,MESA,"Census Tract 11.02, Mesa County, Colorado",4515,3244,107,3.3,207,6.4,1019,31.4,769,23.7,331,10.2,553,17,258,8,2930,90.3,811,25,314,9.7
115,08077000300,MESA,"Census Tract 3, Mesa County, Colorado",1444,1123,79,7,151,13.4,177,15.8,271,24.1,67,6,228,20.3,150,13.4,893,79.5,378,33.7,230,20.4
116,08077000200,MESA,"Census Tract 2, Mesa County, Colorado",2068,1328,16,1.2,93,7,330,24.8,456,34.3,68,5.1,273,20.6,92,6.9,1219,91.8,365,27.5,109,8.2
117,08077001404,MESA,"Census Tract 14.04, Mesa County, Colorado",5012,3777,10,0.3,58,1.5,605,16,777,20.6,291,7.7,1270,33.6,766,20.3,3709,98.2,2036,53.9,68,1.8
118,08077001501,MESA,"Census Tract 15.01, Mesa County, Colorado",13408,9135,221,2.4,626,6.9,2432,26.6,2970,32.5,776,8.5,1281,14,829,9.1,8288,90.7,2110,23.1,847,9.3
119,08077001403,MESA,"Census Tract 14.03, Mesa County, Colorado",3423,2563,14,0.5,89,3.5,460,17.9,542,21.1,305,11.9,709,27.7,444,17.3,2460,96,1153,45,103,4
120,08077001301,MESA,"Census Tract 13.01, Mesa County, Colorado",8772,5630,275,4.9,275,4.9,1712,30.4,1553,27.6,657,11.7,859,15.3,299,5.3,5080,90.2,1158,20.6,550,9.8
121,08077001002,MESA,"Census Tract 10.02, Mesa County, Colorado",6524,4943,92,1.9,273,5.5,892,18,1008,20.4,303,6.1,1546,31.3,829,16.8,4578,92.6,2375,48,365,7.4
122,08077000900,MESA,"Census Tract 9, Mesa County, Colorado",3547,2449,33,1.3,184,7.5,501,20.5,620,25.3,217,8.9,622,25.4,272,11.1,2232,91.1,894,36.5,217,8.8
123,08077001101,MESA,"Census Tract 11.01, Mesa County, Colorado",8122,5766,205,3.6,538,9.3,2024,35.1,1315,22.8,643,11.2,813,14.1,228,4,5023,87.1,1041,18.1,743,12.9
124,08077000800,MESA,"Census Tract 8, Mesa County, Colorado",9164,6100,215,3.5,518,8.5,2044,33.5,1881,30.8,512,8.4,597,9.8,333,5.5,5367,88,930,15.2,733,12
125,08077000700,MESA,"Census Tract 7, Mesa County, Colorado",4268,2879,69,2.4,331,11.5,823,28.6,489,17,162,5.6,615,21.4,390,13.5,2479,86.1,1005,34.9,400,13.9
126,08077001900,MESA,"Census Tract 19, Mesa County, Colorado",5013,3953,93,2.4,188,4.8,944,23.9,1216,30.8,247,6.2,674,17.1,591,15,3672,92.9,1265,32,281,7.2
127,08077000601,MESA,"Census Tract 6.01, Mesa County, Colorado",4605,2894,163,5.6,150,5.2,698,24.1,916,31.7,261,9,410,14.2,296,10.2,2581,89.2,706,24.4,313,10.8
128,08077001402,MESA,"Census Tract 14.02, Mesa County, Colorado",5699,4373,18,0.4,138,3.2,694,15.9,1030,23.6,355,8.1,1363,31.2,775,17.7,4217,96.4,2138,48.9,156,3.6
129,08077001600,MESA,"Census Tract 16, Mesa County, Colorado",3722,2828,0,0,157,5.6,504,17.8,674,23.8,323,11.4,705,24.9,465,16.4,2671,94.4,1170,41.4,157,5.6
130,08077001502,MESA,"Census Tract 15.02, Mesa County, Colorado",7616,5382,43,0.8,395,7.3,1662,30.9,1339,24.9,462,8.6,1033,19.2,448,8.3,4944,91.9,1481,27.5,438,8.1
131,08077001703,MESA,"Census Tract 17.03, Mesa County, Colorado",4325,2897,53,1.8,67,2.3,1079,37.2,857,29.6,258,8.9,390,13.5,193,6.7,2777,95.9,583,20.1,120,4.1
132,08077001800,MESA,"Census Tract 18, Mesa County, Colorado",3039,2064,18,0.9,150,7.3,699,33.9,561,27.2,147,7.1,337,16.3,152,7.4,1896,91.9,489,23.7,168,8.2
133,08077001702,MESA,"Census Tract 17.02, Mesa County, Colorado",4757,3640,70,1.9,337,9.3,1021,28,974,26.8,211,5.8,617,17,410,11.3,3233,88.8,1027,28.2,407,11.2
