OBJECTID,FIPS,County,Tract_Name,Population_Total,Education_Population_AgeOver24,Education_Population_AgeOver24_LessThan9th,Percent_Education_Population_AgeOver24_LessThan9th,Education_Population_AgeOver24_No_High_School_Diploma,Percent_Education_Population_AgeOver24_No_High_School_Diploma,Education_Population_AgeOver24_High_School_Graduate,Percent_Education_Population_AgeOver24_High_School_Graduate,Education_Population_AgeOver24_Some_College_NoDegree,Percent_Education_Population_AgeOver24_Some_College_NoDegree,Education_Population_AgeOver24_Associates_Degree,Percent_Education_Population_AgeOver24_Associates_Degree,Education_Population_AgeOver24_Bachelors_Degree,Percent_Education_Population_AgeOver24_Bachelors_Degree,Education_Population_AgeOver24_Graduate_Degree_Higher,Percent_Education_Population_AgeOver24_Graduate_Degree_Higher,Education_Population_AgeOver24_HSD_Higher,Percent_Education_Population_AgeOver24_HSD_Higher,Education_Population_AgeOver24_Bachelors_Higher,Percent_Education_Population_AgeOver24_Bachelors_Higher,Education_Population_AgeOver24_LessThan9th_Or_No_High_School_Dip,Percent_Education_Population_AgeOver24_LessThan9th_Or_No_High_Sc
962,08031004006,DENVER,"Census Tract 40.06, Denver County, Colorado",4857,3151,13,0.4,67,2.1,222,7,474,15,73,2.3,1229,39,1073,34.1,3071,97.5,2302,73.1,80,2.5
963,08031003001,DENVER,"Census Tract 30.01, Denver County, Colorado",5874,4678,14,0.3,1,0,267,5.7,453,9.7,168,3.6,2137,45.7,1638,35,4663,99.7,3775,80.7,15,0.3
964,08031001403,DENVER,"Census Tract 14.03, Denver County, Colorado",3032,2538,155,6.1,135,5.3,337,13.3,494,19.5,244,9.6,873,34.4,300,11.8,2248,88.6,1173,46.2,290,11.4
965,08031006813,DENVER,"Census Tract 68.13, Denver County, Colorado",4293,3531,44,1.2,211,6,563,15.9,907,25.7,373,10.6,1174,33.2,259,7.3,3276,92.8,1433,40.6,255,7.2
966,08031006814,DENVER,"Census Tract 68.14, Denver County, Colorado",5296,3396,147,4.3,350,10.3,922,27.1,508,15,160,4.7,813,23.9,496,14.6,2899,85.4,1309,38.5,497,14.6
967,08031006811,DENVER,"Census Tract 68.11, Denver County, Colorado",6497,4954,61,1.2,64,1.3,660,13.3,1137,23,205,4.1,1758,35.5,1069,21.6,4829,97.5,2827,57.1,125,2.5
968,08031007037,DENVER,"Census Tract 70.37, Denver County, Colorado",4361,3051,298,9.8,268,8.8,934,30.6,461,15.1,188,6.2,542,17.8,360,11.8,2485,81.4,902,29.6,566,18.6
969,08031007088,DENVER,"Census Tract 70.88, Denver County, Colorado",4922,3526,55,1.6,82,2.3,715,20.3,660,18.7,337,9.6,1087,30.8,590,16.7,3389,96.1,1677,47.6,137,3.9
970,08031007089,DENVER,"Census Tract 70.89, Denver County, Colorado",5194,4757,84,1.8,169,3.6,1016,21.4,1136,23.9,284,6,1163,24.4,905,19,4504,94.7,2068,43.5,253,5.4
971,08005081800,ARAPAHOE,"Census Tract 818, Arapahoe County, Colorado",5708,3592,423,11.8,710,19.8,1439,40.1,504,14,113,3.1,260,7.2,143,4,2459,68.5,403,11.2,1133,31.6
972,08005007500,ARAPAHOE,"Census Tract 75, Arapahoe County, Colorado",2559,1746,236,13.5,129,7.4,709,40.6,249,14.3,122,7,202,11.6,99,5.7,1381,79.1,301,17.2,365,20.9
973,08005082300,ARAPAHOE,"Census Tract 823, Arapahoe County, Colorado",4157,2674,253,9.5,87,3.3,896,33.5,596,22.3,292,10.9,375,14,175,6.5,2334,87.3,550,20.6,340,12.8
974,08005081600,ARAPAHOE,"Census Tract 816, Arapahoe County, Colorado",5159,3696,125,3.4,117,3.2,1226,33.2,694,18.8,489,13.2,785,21.2,260,7,3454,93.5,1045,28.3,242,6.6
975,08005080700,ARAPAHOE,"Census Tract 807, Arapahoe County, Colorado",5801,3774,170,4.5,266,7,1014,26.9,936,24.8,268,7.1,602,16,518,13.7,3338,88.4,1120,29.7,436,11.5
976,08005006808,ARAPAHOE,"Census Tract 68.08, Arapahoe County, Colorado",5839,3736,0,0,25,0.7,128,3.4,358,9.6,137,3.7,1612,43.1,1476,39.5,3711,99.3,3088,82.7,25,0.7
977,08005084600,ARAPAHOE,"Census Tract 846, Arapahoe County, Colorado",5404,3735,49,1.3,140,3.7,1107,29.6,990,26.5,380,10.2,798,21.4,271,7.3,3546,94.9,1069,28.6,189,5
978,08005006711,ARAPAHOE,"Census Tract 67.11, Arapahoe County, Colorado",4225,2975,25,0.8,91,3.1,259,8.7,328,11,174,5.8,1247,41.9,851,28.6,2859,96.1,2098,70.5,116,3.9
979,08005006815,ARAPAHOE,"Census Tract 68.15, Arapahoe County, Colorado",4728,3092,64,2.1,125,4,302,9.8,557,18,201,6.5,1070,34.6,773,25,2903,93.9,1843,59.6,189,6.1
980,08005082600,ARAPAHOE,"Census Tract 826, Arapahoe County, Colorado",5556,3593,47,1.3,354,9.9,1030,28.7,735,20.5,326,9.1,950,26.4,151,4.2,3192,88.8,1101,30.6,401,11.2
981,08005080200,ARAPAHOE,"Census Tract 802, Arapahoe County, Colorado",6439,4450,246,5.5,270,6.1,1065,23.9,868,19.5,380,8.5,924,20.8,697,15.7,3934,88.4,1621,36.4,516,11.6
982,08041003801,EL PASO,"Census Tract 38.01, El Paso County, Colorado",2183,1098,23,2.1,5,0.5,174,15.8,246,22.4,189,17.2,265,24.1,196,17.9,1070,97.4,461,42,28,2.6
983,08041005111,EL PASO,"Census Tract 51.11, El Paso County, Colorado",8507,5008,138,2.8,110,2.2,839,16.8,1172,23.4,841,16.8,1366,27.3,542,10.8,4760,95,1908,38.1,248,5
984,08041007101,EL PASO,"Census Tract 71.01, El Paso County, Colorado",10685,6216,62,1,54,0.9,744,12,978,15.7,617,9.9,2132,34.3,1629,26.2,6100,98.1,3761,60.5,116,1.9
985,08041007201,EL PASO,"Census Tract 72.01, El Paso County, Colorado",10751,6895,74,1.1,31,0.4,799,11.6,1175,17,534,7.7,2329,33.8,1953,28.3,6790,98.5,4282,62.1,105,1.5
