OBJECTID,FIPS,County,Tract_Name,Population_Total,Percent_Poverty_AllPeople_Income_Below_Pov_Level,Poverty_Per_Capita_Income,Housing_Poverty_Median_Household_Income,Housing_Poverty_Mean_Household_Income
535,08123001411,WELD,"Census Tract 14.11, Weld County, Colorado",2615,3,33266,64702,79952
536,08047013800,GILPIN,"Census Tract 138, Gilpin County, Colorado",6018,4.9,49641,76429,103719
537,08031980000,DENVER,"Census Tract 9800, Denver County, Colorado",1708,10.4,26540,54125,64810
538,08071000800,LAS ANIMAS,"Census Tract 8, Las Animas County, Colorado",2549,16,23646,53194,65854
539,08071000100,LAS ANIMAS,"Census Tract 1, Las Animas County, Colorado",3521,18.1,24176,33000,49230
540,08071000200,LAS ANIMAS,"Census Tract 2, Las Animas County, Colorado",2128,22.2,21595,40781,49411
541,08071000300,LAS ANIMAS,"Census Tract 3, Las Animas County, Colorado",2073,13.8,33634,51731,67949
542,08071000500,LAS ANIMAS,"Census Tract 5, Las Animas County, Colorado",1863,13.5,25630,44152,54659
543,08071000400,LAS ANIMAS,"Census Tract 4, Las Animas County, Colorado",2132,27,27874,36964,57201
544,08043979400,FREMONT,"Census Tract 9794, Fremont County, Colorado",3196,12.3,23875,54054,64149
545,08043980200,FREMONT,"Census Tract 9802, Fremont County, Colorado",3073,0,3885,0,0
546,08043979100,FREMONT,"Census Tract 9791, Fremont County, Colorado",3108,15.6,29021,53977,67164
547,08043978100,FREMONT,"Census Tract 9781, Fremont County, Colorado",3574,6.8,34289,67628,84948
548,08043978200,FREMONT,"Census Tract 9782, Fremont County, Colorado",3628,17.3,24253,45574,54111
549,08043980300,FREMONT,"Census Tract 9803, Fremont County, Colorado",5952,0,14,0,0
550,08043979200,FREMONT,"Census Tract 9792, Fremont County, Colorado",1713,5.7,48389,87031,107617
551,08043978800,FREMONT,"Census Tract 9788, Fremont County, Colorado",2313,17.3,29282,53194,59072
552,08043980100,FREMONT,"Census Tract 9801, Fremont County, Colorado",308,0,0,0,0
553,08043978600,FREMONT,"Census Tract 9786, Fremont County, Colorado",3631,28.6,21664,41091,46425
554,08043978300,FREMONT,"Census Tract 9783, Fremont County, Colorado",5266,12.2,23952,47570,57488
555,08043978500,FREMONT,"Census Tract 9785, Fremont County, Colorado",5715,13.4,27003,47578,61338
556,08043978400,FREMONT,"Census Tract 9784, Fremont County, Colorado",2388,11.9,23438,47056,60457
557,08001008709,ADAMS,"Census Tract 87.09, Adams County, Colorado",7668,21,19293,41830,55265
558,08001009751,ADAMS,"Census Tract 97.51, Adams County, Colorado",3944,25.8,21168,49571,59410
559,08001009752,ADAMS,"Census Tract 97.52, Adams County, Colorado",3257,8.9,25127,74167,76520
560,08001007801,ADAMS,"Census Tract 78.01, Adams County, Colorado",4215,27.9,14545,32250,42857
561,08001008309,ADAMS,"Census Tract 83.09, Adams County, Colorado",4251,14.6,16971,53574,56396
562,08001008308,ADAMS,"Census Tract 83.08, Adams County, Colorado",5648,18.4,20032,43774,55899
563,08001008100,ADAMS,"Census Tract 81, Adams County, Colorado",1574,28.1,30264,40938,57164
564,08001008000,ADAMS,"Census Tract 80, Adams County, Colorado",5818,19.4,19824,49634,58782
565,08001008353,ADAMS,"Census Tract 83.53, Adams County, Colorado",8538,10.7,29892,79697,88167
566,08001007900,ADAMS,"Census Tract 79, Adams County, Colorado",5627,12.6,20462,43308,54812
567,08027970100,CUSTER,"Census Tract 9701, Custer County, Colorado",4776,12.7,29258,53119,64037
568,08025969600,CROWLEY,"Census Tract 9696, Crowley County, Colorado",5754,27.9,15517,42135,50640
569,08089968100,OTERO,"Census Tract 9681, Otero County, Colorado",2527,35.5,13350,26984,35299
570,08089968200,OTERO,"Census Tract 9682, Otero County, Colorado",2764,22.2,18361,38750,48288
571,08089968400,OTERO,"Census Tract 9684, Otero County, Colorado",1101,21.4,18783,35870,45459
572,08089968300,OTERO,"Census Tract 9683, Otero County, Colorado",4104,21.4,22156,44972,51925
573,08089968600,OTERO,"Census Tract 9686, Otero County, Colorado",4585,23.9,22050,36375,46510
574,08089968000,OTERO,"Census Tract 9680, Otero County, Colorado",1593,22.2,22136,42550,50252
575,08089968500,OTERO,"Census Tract 9685, Otero County, Colorado",1608,15.4,33255,51136,71644
576,08011966700,BENT,"Census Tract 9667, Bent County, Colorado",5787,29.5,13930,30900,44983
577,08017960600,CHEYENNE,"Census Tract 9606, Cheyenne County, Colorado",2026,10.2,29081,53977,70046
578,08039961209,ELBERT,"Census Tract 9612.09, Elbert County, Colorado",2182,9.2,38777,85000,96464
579,08039961208,ELBERT,"Census Tract 9612.08, Elbert County, Colorado",3465,2.8,44320,96935,117371
580,08039961207,ELBERT,"Census Tract 9612.07, Elbert County, Colorado",3930,4,51966,120809,140245
581,08039961206,ELBERT,"Census Tract 9612.06, Elbert County, Colorado",3735,2.5,48495,105946,129418
582,08039961205,ELBERT,"Census Tract 9612.05, Elbert County, Colorado",2057,6.3,39171,83611,98599
583,08039961204,ELBERT,"Census Tract 9612.04, Elbert County, Colorado",8121,5.1,43739,124079,132844
584,08039961100,ELBERT,"Census Tract 9611, Elbert County, Colorado",2227,6.7,40398,58750,101077
585,08001007802,ADAMS,"Census Tract 78.02, Adams County, Colorado",4389,29.5,16263,33438,44457
586,08023972700,COSTILLA,"Census Tract 9727, Costilla County, Colorado",1684,30.7,20584,25000,37276
587,08023972600,COSTILLA,"Census Tract 9726, Costilla County, Colorado",2061,24.6,22671,42045,56406
588,08001008200,ADAMS,"Census Tract 82, Adams County, Colorado",6576,9.6,20912,70953,77476
589,08059010406,JEFFERSON,"Census Tract 104.06, Jefferson County, Colorado",2892,18.5,25769,46673,64344
590,08059011100,JEFFERSON,"Census Tract 111, Jefferson County, Colorado",6565,17.6,42127,57048,95453
591,08059011723,JEFFERSON,"Census Tract 117.23, Jefferson County, Colorado",3418,10.6,34053,57276,68622
592,08059012057,JEFFERSON,"Census Tract 120.57, Jefferson County, Colorado",5992,3.2,43687,80476,97839
593,08099000700,PROWERS,"Census Tract 7, Prowers County, Colorado",2171,21.3,25038,33000,56877
594,08059012050,JEFFERSON,"Census Tract 120.50, Jefferson County, Colorado",4140,7.6,57266,95208,129288
595,08059011724,JEFFERSON,"Census Tract 117.24, Jefferson County, Colorado",6739,1.2,67738,157200,189119
596,08059009807,JEFFERSON,"Census Tract 98.07, Jefferson County, Colorado",1737,7.5,43278,80000,92892
597,08059009806,JEFFERSON,"Census Tract 98.06, Jefferson County, Colorado",3867,2.5,61248,104500,141470
598,08059010402,JEFFERSON,"Census Tract 104.02, Jefferson County, Colorado",5411,14.1,36419,52033,68387
599,08059011729,JEFFERSON,"Census Tract 117.29, Jefferson County, Colorado",4207,6.6,39257,63302,81311
600,08059010000,JEFFERSON,"Census Tract 100, Jefferson County, Colorado",5469,23.5,24403,57292,83495
601,08059012041,JEFFERSON,"Census Tract 120.41, Jefferson County, Colorado",5885,0.7,41274,90564,109699
602,08073961700,LINCOLN,"Census Tract 9617, Lincoln County, Colorado",3588,14.5,14082,46000,70049
603,08073961800,LINCOLN,"Census Tract 9618, Lincoln County, Colorado",1997,15,21551,48438,62030
604,08059980400,JEFFERSON,"Census Tract 9804, Jefferson County, Colorado",1308,0,6305,0,0
605,08059015800,JEFFERSON,"Census Tract 158, Jefferson County, Colorado",4442,5.6,42388,68636,86052
606,08059011401,JEFFERSON,"Census Tract 114.01, Jefferson County, Colorado",2460,19.3,29117,45340,58348
607,08059012059,JEFFERSON,"Census Tract 120.59, Jefferson County, Colorado",3247,1.5,40501,93917,110228
608,08059009849,JEFFERSON,"Census Tract 98.49, Jefferson County, Colorado",5660,14.9,40738,70718,96348
609,08059012060,JEFFERSON,"Census Tract 120.60, Jefferson County, Colorado",3355,6.9,43962,87350,103842
610,08059011805,JEFFERSON,"Census Tract 118.05, Jefferson County, Colorado",5996,10.5,41316,64059,81821
611,08059011806,JEFFERSON,"Census Tract 118.06, Jefferson County, Colorado",5360,17.4,25249,39434,59555
612,08059011733,JEFFERSON,"Census Tract 117.33, Jefferson County, Colorado",1727,8.4,38207,62277,73084
613,08099000200,PROWERS,"Census Tract 2, Prowers County, Colorado",2421,22.3,18787,33063,47113
614,08099000100,PROWERS,"Census Tract 1, Prowers County, Colorado",1490,5.4,32517,63232,75479
615,08099000300,PROWERS,"Census Tract 3, Prowers County, Colorado",4575,14.1,23775,44240,57493
616,08099000600,PROWERS,"Census Tract 6, Prowers County, Colorado",1365,14.5,20396,41208,52335
617,08059011732,JEFFERSON,"Census Tract 117.32, Jefferson County, Colorado",4786,8.3,34892,59494,64643
618,08059011402,JEFFERSON,"Census Tract 114.02, Jefferson County, Colorado",4453,13.3,28972,42109,61102
619,08059015900,JEFFERSON,"Census Tract 159, Jefferson County, Colorado",3686,8.8,31577,67143,82390
620,08059009850,JEFFERSON,"Census Tract 98.50, Jefferson County, Colorado",2540,5.6,88326,157708,207031
621,08059009852,JEFFERSON,"Census Tract 98.52, Jefferson County, Colorado",4038,2.9,49328,100536,128093
622,08059012047,JEFFERSON,"Census Tract 120.47, Jefferson County, Colorado",4435,4.3,37362,93362,98626
623,08059011712,JEFFERSON,"Census Tract 117.12, Jefferson County, Colorado",4313,3.3,41833,94063,101368
624,08059010901,JEFFERSON,"Census Tract 109.01, Jefferson County, Colorado",5293,9.2,42357,77388,102331
625,08059012032,JEFFERSON,"Census Tract 120.32, Jefferson County, Colorado",2734,4,57747,115938,149003
626,08059012033,JEFFERSON,"Census Tract 120.33, Jefferson County, Colorado",2815,3,58164,118625,136958
627,08059009843,JEFFERSON,"Census Tract 98.43, Jefferson County, Colorado",8439,4.5,56548,120647,147007
628,08059012027,JEFFERSON,"Census Tract 120.27, Jefferson County, Colorado",3122,2.5,52731,115259,133889
629,08059010405,JEFFERSON,"Census Tract 104.05, Jefferson County, Colorado",2749,17.8,35678,45090,60471
630,08059012026,JEFFERSON,"Census Tract 120.26, Jefferson County, Colorado",3347,5.4,48793,100833,116602
631,08059012035,JEFFERSON,"Census Tract 120.35, Jefferson County, Colorado",5286,1.3,74050,171047,214654
632,08059012037,JEFFERSON,"Census Tract 120.37, Jefferson County, Colorado",3523,3.3,60491,113242,135836
633,08059012031,JEFFERSON,"Census Tract 120.31, Jefferson County, Colorado",4092,3.9,58148,129698,153546
634,08059012030,JEFFERSON,"Census Tract 120.30, Jefferson County, Colorado",3867,8.7,49824,103641,125030
635,08059009900,JEFFERSON,"Census Tract 99, Jefferson County, Colorado",2534,17.8,42440,72823,102599
636,08059009846,JEFFERSON,"Census Tract 98.46, Jefferson County, Colorado",4733,3.3,72356,136707,177541
637,08059009847,JEFFERSON,"Census Tract 98.47, Jefferson County, Colorado",3262,5.5,54980,111667,132923
638,08059012023,JEFFERSON,"Census Tract 120.23, Jefferson County, Colorado",3545,4.8,40046,96250,107553
639,08059012048,JEFFERSON,"Census Tract 120.48, Jefferson County, Colorado",2449,4,42931,77279,100333
640,08059009848,JEFFERSON,"Census Tract 98.48, Jefferson County, Colorado",2629,4.5,90163,127963,240359
641,08059009845,JEFFERSON,"Census Tract 98.45, Jefferson County, Colorado",4210,4.9,88348,162419,208677
642,08059009842,JEFFERSON,"Census Tract 98.42, Jefferson County, Colorado",3408,6.4,58484,131813,152812
643,08059012042,JEFFERSON,"Census Tract 120.42, Jefferson County, Colorado",3859,3.4,41324,105515,115870
644,08059012058,JEFFERSON,"Census Tract 120.58, Jefferson County, Colorado",3853,3.5,52379,105511,126235
645,08059011720,JEFFERSON,"Census Tract 117.20, Jefferson County, Colorado",4843,7.5,63282,97119,145909
646,08059012054,JEFFERSON,"Census Tract 120.54, Jefferson County, Colorado",3946,1.5,58160,118385,145046
647,08059011803,JEFFERSON,"Census Tract 118.03, Jefferson County, Colorado",5435,11.5,27899,61714,71534
648,08059011602,JEFFERSON,"Census Tract 116.02, Jefferson County, Colorado",4409,12.7,27993,53244,73013
649,08059010603,JEFFERSON,"Census Tract 106.03, Jefferson County, Colorado",3407,6.2,35806,55227,70792
650,08059012039,JEFFERSON,"Census Tract 120.39, Jefferson County, Colorado",5417,4.2,42124,95948,112949
651,08059010100,JEFFERSON,"Census Tract 101, Jefferson County, Colorado",5553,28.4,35056,76473,92701
652,08059012036,JEFFERSON,"Census Tract 120.36, Jefferson County, Colorado",3986,1.9,63150,142167,170775
653,08059012051,JEFFERSON,"Census Tract 120.51, Jefferson County, Colorado",3658,3.7,44937,112188,125481
654,08059012055,JEFFERSON,"Census Tract 120.55, Jefferson County, Colorado",4037,5.4,43370,95186,107772
655,08059012052,JEFFERSON,"Census Tract 120.52, Jefferson County, Colorado",5234,4,47556,101310,121729
656,08059012046,JEFFERSON,"Census Tract 120.46, Jefferson County, Colorado",2270,5.9,36967,80978,95693
657,08059012024,JEFFERSON,"Census Tract 120.24, Jefferson County, Colorado",5387,6,55863,118295,147205
658,08059012022,JEFFERSON,"Census Tract 120.22, Jefferson County, Colorado",5809,6,47085,108442,117848
659,08059012045,JEFFERSON,"Census Tract 120.45, Jefferson County, Colorado",6185,1.6,41614,100044,113917
660,08059011904,JEFFERSON,"Census Tract 119.04, Jefferson County, Colorado",2716,9.5,38284,58566,76517
661,08059011728,JEFFERSON,"Census Tract 117.28, Jefferson County, Colorado",2804,1.2,40851,87004,102284
662,08059011702,JEFFERSON,"Census Tract 117.02, Jefferson County, Colorado",5693,11.2,38992,79861,94796
663,08059011701,JEFFERSON,"Census Tract 117.01, Jefferson County, Colorado",4599,4.5,43890,84093,100015
664,08059012049,JEFFERSON,"Census Tract 120.49, Jefferson County, Colorado",3921,2.3,50052,117902,138512
665,08059011730,JEFFERSON,"Census Tract 117.30, Jefferson County, Colorado",3388,11.5,31865,60276,66263
666,08059011727,JEFFERSON,"Census Tract 117.27, Jefferson County, Colorado",3538,5.3,43859,89722,99874
667,08059012053,JEFFERSON,"Census Tract 120.53, Jefferson County, Colorado",4010,4.4,38708,98487,107192
668,08059011202,JEFFERSON,"Census Tract 112.02, Jefferson County, Colorado",4920,3.6,35114,79219,96230
669,08059011804,JEFFERSON,"Census Tract 118.04, Jefferson County, Colorado",4491,9.6,31822,73194,83580
670,08059011708,JEFFERSON,"Census Tract 117.08, Jefferson County, Colorado",4279,8.5,36945,76250,92689
671,08059980000,JEFFERSON,"Census Tract 9800, Jefferson County, Colorado",0,0,0,0,0
672,08059011711,JEFFERSON,"Census Tract 117.11, Jefferson County, Colorado",4349,8.1,33674,65486,78992
673,08059011951,JEFFERSON,"Census Tract 119.51, Jefferson County, Colorado",3409,4.5,48982,80486,115718
674,08059012038,JEFFERSON,"Census Tract 120.38, Jefferson County, Colorado",3910,2.3,38816,92163,107945
675,08059011725,JEFFERSON,"Census Tract 117.25, Jefferson County, Colorado",1844,1.7,41978,92188,107582
676,08059011721,JEFFERSON,"Census Tract 117.21, Jefferson County, Colorado",2541,5.4,48495,98030,108404
677,08059012034,JEFFERSON,"Census Tract 120.34, Jefferson County, Colorado",3710,4.4,96440,175638,254095
678,08059011710,JEFFERSON,"Census Tract 117.10, Jefferson County, Colorado",3889,6.5,39298,68104,83251
679,08059011709,JEFFERSON,"Census Tract 117.09, Jefferson County, Colorado",3633,1.8,39030,62923,87082
680,08059011726,JEFFERSON,"Census Tract 117.26, Jefferson County, Colorado",6079,8.1,43883,102206,116877
681,08059011601,JEFFERSON,"Census Tract 116.01, Jefferson County, Colorado",3855,17.1,26379,58000,68729
682,08059011731,JEFFERSON,"Census Tract 117.31, Jefferson County, Colorado",4317,4.8,46557,79470,97024
683,08059011550,JEFFERSON,"Census Tract 115.50, Jefferson County, Colorado",6491,14.6,29401,43095,60967
684,08059011300,JEFFERSON,"Census Tract 113, Jefferson County, Colorado",3229,11,34714,55806,73473
685,08059010702,JEFFERSON,"Census Tract 107.02, Jefferson County, Colorado",5249,17.8,32388,54688,70411
686,08059010701,JEFFERSON,"Census Tract 107.01, Jefferson County, Colorado",4470,8.2,39090,65575,87655
687,08059012043,JEFFERSON,"Census Tract 120.43, Jefferson County, Colorado",5766,3.2,47878,107483,124018
688,08059010502,JEFFERSON,"Census Tract 105.02, Jefferson County, Colorado",5092,9.3,42146,62215,91764
689,08059010604,JEFFERSON,"Census Tract 106.04, Jefferson County, Colorado",2435,7.8,30763,61438,71475
690,08059011000,JEFFERSON,"Census Tract 110, Jefferson County, Colorado",6290,10.4,30864,64693,75845
691,08059010902,JEFFERSON,"Census Tract 109.02, Jefferson County, Colorado",2517,6.2,26242,51463,59849
692,08059010801,JEFFERSON,"Census Tract 108.01, Jefferson County, Colorado",2520,9.3,48632,88622,106679
693,08059010504,JEFFERSON,"Census Tract 105.04, Jefferson County, Colorado",3016,1.7,59447,128000,142819
694,08059010503,JEFFERSON,"Census Tract 105.03, Jefferson County, Colorado",4222,14.8,42965,52201,90730
695,08059010403,JEFFERSON,"Census Tract 104.03, Jefferson County, Colorado",5653,17.9,28886,52103,63607
696,08059012044,JEFFERSON,"Census Tract 120.44, Jefferson County, Colorado",4117,5.5,47134,110887,122285
697,08059010308,JEFFERSON,"Census Tract 103.08, Jefferson County, Colorado",5829,7,40532,92745,97886
698,08035014112,DOUGLAS,"Census Tract 141.12, Douglas County, Colorado",3913,1.3,53273,125294,144027
699,08035014110,DOUGLAS,"Census Tract 141.10, Douglas County, Colorado",5716,5.9,48392,83669,116290
700,08035014109,DOUGLAS,"Census Tract 141.09, Douglas County, Colorado",2882,0.8,72624,136346,165938
701,08035014108,DOUGLAS,"Census Tract 141.08, Douglas County, Colorado",4849,1.8,52415,106429,138153
702,08035014202,DOUGLAS,"Census Tract 142.02, Douglas County, Colorado",2159,8.9,54610,110104,148701
703,08035014116,DOUGLAS,"Census Tract 141.16, Douglas County, Colorado",5918,4.5,64459,95754,148984
704,08035014300,DOUGLAS,"Census Tract 143, Douglas County, Colorado",923,5.6,43727,64063,99819
705,08035014107,DOUGLAS,"Census Tract 141.07, Douglas County, Colorado",3775,2.9,58894,125453,158911
706,08035014122,DOUGLAS,"Census Tract 141.22, Douglas County, Colorado",7137,0.8,88482,175318,254116
707,08035014602,DOUGLAS,"Census Tract 146.02, Douglas County, Colorado",2658,6,57562,120625,152047
708,08035013901,DOUGLAS,"Census Tract 139.01, Douglas County, Colorado",7807,2.8,57578,111283,146056
709,08035014503,DOUGLAS,"Census Tract 145.03, Douglas County, Colorado",5683,7,43121,84828,111111
710,08035013909,DOUGLAS,"Census Tract 139.09, Douglas County, Colorado",6016,1.8,51802,103750,139190
711,08101003600,PUEBLO,"Census Tract 36, Pueblo County, Colorado",2134,36.9,18338,31810,45201
712,08101003500,PUEBLO,"Census Tract 35, Pueblo County, Colorado",1876,38.9,18352,18042,31116
713,08101002916,PUEBLO,"Census Tract 29.16, Pueblo County, Colorado",3228,11.2,19894,37912,50130
714,08101002914,PUEBLO,"Census Tract 29.14, Pueblo County, Colorado",3161,10.6,27517,59766,70850
715,08063962200,KIT CARSON,"Census Tract 9622, Kit Carson County, Colorado",1540,10.7,21758,49891,59653
716,08063962300,KIT CARSON,"Census Tract 9623, Kit Carson County, Colorado",1081,8.9,30736,48611,66061
717,08063962100,KIT CARSON,"Census Tract 9621, Kit Carson County, Colorado",4826,3.7,29066,49356,73725
718,08101002912,PUEBLO,"Census Tract 29.12, Pueblo County, Colorado",1770,15.8,23125,56875,59485
719,08101980100,PUEBLO,"Census Tract 9801, Pueblo County, Colorado",0,0,0,0,0
720,08101002917,PUEBLO,"Census Tract 29.17, Pueblo County, Colorado",3128,5,34558,89135,98243
721,08101003106,PUEBLO,"Census Tract 31.06, Pueblo County, Colorado",1321,11.5,26584,54625,73870
722,08101003105,PUEBLO,"Census Tract 31.05, Pueblo County, Colorado",3446,4.4,31766,77411,90707
723,08101002915,PUEBLO,"Census Tract 29.15, Pueblo County, Colorado",2693,9.2,28185,70592,77908
724,08101002918,PUEBLO,"Census Tract 29.18, Pueblo County, Colorado",7480,7.8,26776,75516,79412
725,08101002913,PUEBLO,"Census Tract 29.13, Pueblo County, Colorado",3224,4.8,37987,80497,88811
726,08101002911,PUEBLO,"Census Tract 29.11, Pueblo County, Colorado",2894,4.3,33488,83304,98598
727,08101000903,PUEBLO,"Census Tract 9.03, Pueblo County, Colorado",521,87.8,5496,27868,28536
728,08101002600,PUEBLO,"Census Tract 26, Pueblo County, Colorado",4089,45.8,15583,25669,35470
729,08101002801,PUEBLO,"Census Tract 28.01, Pueblo County, Colorado",5194,17.4,21497,40537,50119
730,08101002000,PUEBLO,"Census Tract 20, Pueblo County, Colorado",3186,34.2,16161,29405,36745
731,08101001800,PUEBLO,"Census Tract 18, Pueblo County, Colorado",2208,13.8,21255,45174,48545
732,08101001900,PUEBLO,"Census Tract 19, Pueblo County, Colorado",1624,27.5,20360,32295,46705
733,08101002400,PUEBLO,"Census Tract 24, Pueblo County, Colorado",1670,24.5,21936,31858,49202
734,08101001400,PUEBLO,"Census Tract 14, Pueblo County, Colorado",1476,38.1,15956,28977,33168
735,08101001700,PUEBLO,"Census Tract 17, Pueblo County, Colorado",4880,17.5,27393,44659,65879
736,08101000905,PUEBLO,"Census Tract 9.05, Pueblo County, Colorado",2242,28.8,19775,29000,40260
737,08101003104,PUEBLO,"Census Tract 31.04, Pueblo County, Colorado",2189,8.4,30548,60170,73196
738,08101002300,PUEBLO,"Census Tract 23, Pueblo County, Colorado",3985,24,23128,38142,56663
739,08101002200,PUEBLO,"Census Tract 22, Pueblo County, Colorado",1577,38.6,19089,29917,42132
740,08101002100,PUEBLO,"Census Tract 21, Pueblo County, Colorado",1394,36,16653,25775,33476
741,08101002802,PUEBLO,"Census Tract 28.02, Pueblo County, Colorado",3596,16.2,27247,50521,61673
742,08101000200,PUEBLO,"Census Tract 2, Pueblo County, Colorado",2019,30,16560,33684,46347
743,08101002906,PUEBLO,"Census Tract 29.06, Pueblo County, Colorado",4321,4.9,36890,81490,99889
744,08101002700,PUEBLO,"Census Tract 27, Pueblo County, Colorado",5328,23.6,21631,40000,51634
745,08101001600,PUEBLO,"Census Tract 16, Pueblo County, Colorado",1737,15.5,31523,51579,66184
746,08101002903,PUEBLO,"Census Tract 29.03, Pueblo County, Colorado",7952,10.5,28702,62806,78405
747,08101000500,PUEBLO,"Census Tract 5, Pueblo County, Colorado",2062,13.1,25431,43417,49951
748,08101000800,PUEBLO,"Census Tract 8, Pueblo County, Colorado",3130,34.6,14667,29399,36030
749,08101002901,PUEBLO,"Census Tract 29.01, Pueblo County, Colorado",2983,32,17330,29858,40447
750,08101002500,PUEBLO,"Census Tract 25, Pueblo County, Colorado",2633,20.9,21374,40227,52212
751,08101003103,PUEBLO,"Census Tract 31.03, Pueblo County, Colorado",1863,20.6,29754,44511,71286
752,08101003001,PUEBLO,"Census Tract 30.01, Pueblo County, Colorado",1448,17.7,17972,39509,54044
753,08101001000,PUEBLO,"Census Tract 10, Pueblo County, Colorado",4761,31.2,15971,34509,43508
754,08101000904,PUEBLO,"Census Tract 9.04, Pueblo County, Colorado",3999,13.6,25759,44052,51506
755,08101003004,PUEBLO,"Census Tract 30.04, Pueblo County, Colorado",2948,8.7,51690,99750,147991
756,08101001100,PUEBLO,"Census Tract 11, Pueblo County, Colorado",2169,35.7,15836,30410,33239
757,08101000902,PUEBLO,"Census Tract 9.02, Pueblo County, Colorado",6327,21.7,24598,42180,59471
758,08101003200,PUEBLO,"Census Tract 32, Pueblo County, Colorado",3354,13.9,24134,52917,63387
759,08101000400,PUEBLO,"Census Tract 4, Pueblo County, Colorado",2714,25.9,26738,42067,56044
760,08101002806,PUEBLO,"Census Tract 28.06, Pueblo County, Colorado",4236,10.2,31025,78510,90815
761,08101000300,PUEBLO,"Census Tract 3, Pueblo County, Colorado",1838,90.9,2584,0,0
762,08101002804,PUEBLO,"Census Tract 28.04, Pueblo County, Colorado",4716,12.7,25319,57328,66399
763,08101001200,PUEBLO,"Census Tract 12, Pueblo County, Colorado",2267,39.1,13638,29375,36363
764,08101000600,PUEBLO,"Census Tract 6, Pueblo County, Colorado",1920,29.7,18765,25908,38450
765,08101002807,PUEBLO,"Census Tract 28.07, Pueblo County, Colorado",4807,12.6,29320,59712,75402
766,08101002808,PUEBLO,"Census Tract 28.08, Pueblo County, Colorado",3326,13.7,37375,87708,111335
767,08101001500,PUEBLO,"Census Tract 15, Pueblo County, Colorado",2362,30.3,23069,38525,54630
768,08101000100,PUEBLO,"Census Tract 1, Pueblo County, Colorado",2576,13.9,34852,50365,79771
769,08035014006,DOUGLAS,"Census Tract 140.06, Douglas County, Colorado",6934,0.8,48720,141289,157859
770,08035013910,DOUGLAS,"Census Tract 139.10, Douglas County, Colorado",7582,2.6,45526,140789,143974
771,08035014140,DOUGLAS,"Census Tract 141.40, Douglas County, Colorado",5309,2.7,71440,168708,220903
772,08035014132,DOUGLAS,"Census Tract 141.32, Douglas County, Colorado",6394,0.9,55216,167845,177470
773,08035014130,DOUGLAS,"Census Tract 141.30, Douglas County, Colorado",7396,0,52092,140901,155874
774,08035014124,DOUGLAS,"Census Tract 141.24, Douglas County, Colorado",5288,1.6,53056,141111,155033
775,08035014405,DOUGLAS,"Census Tract 144.05, Douglas County, Colorado",7560,3.5,50499,133321,156954
776,08035014505,DOUGLAS,"Census Tract 145.05, Douglas County, Colorado",5797,5.7,48009,102171,121805
777,08035014603,DOUGLAS,"Census Tract 146.03, Douglas County, Colorado",6892,1.2,38655,101272,121813
778,08035014403,DOUGLAS,"Census Tract 144.03, Douglas County, Colorado",6148,3.1,58399,125481,154772
779,08035014404,DOUGLAS,"Census Tract 144.04, Douglas County, Colorado",2612,2.9,70953,133611,169950
780,08035014128,DOUGLAS,"Census Tract 141.28, Douglas County, Colorado",4859,1.3,48547,116736,126708
781,08035014129,DOUGLAS,"Census Tract 141.29, Douglas County, Colorado",3742,3.3,54281,126295,160440
782,08035014134,DOUGLAS,"Census Tract 141.34, Douglas County, Colorado",6329,2.2,55918,146750,175717
783,08035014136,DOUGLAS,"Census Tract 141.36, Douglas County, Colorado",9614,5.1,44622,109194,135708
784,08035014138,DOUGLAS,"Census Tract 141.38, Douglas County, Colorado",3059,5.3,60288,87000,111102
785,08035014139,DOUGLAS,"Census Tract 141.39, Douglas County, Colorado",4160,0.1,60168,124940,158064
786,08035014126,DOUGLAS,"Census Tract 141.26, Douglas County, Colorado",2130,6.1,52016,87227,102227
787,08035014203,DOUGLAS,"Census Tract 142.03, Douglas County, Colorado",6684,1.3,60372,141643,172117
788,08035014406,DOUGLAS,"Census Tract 144.06, Douglas County, Colorado",13460,1.2,48771,122839,142530
789,08035014133,DOUGLAS,"Census Tract 141.33, Douglas County, Colorado",6337,2.3,56192,142074,165421
790,08035014204,DOUGLAS,"Census Tract 142.04, Douglas County, Colorado",3213,1.7,51862,123145,136852
791,08035014135,DOUGLAS,"Census Tract 141.35, Douglas County, Colorado",4868,3.7,68196,180000,219005
792,08035014131,DOUGLAS,"Census Tract 141.31, Douglas County, Colorado",5134,6.4,56454,80908,105510
793,08035014137,DOUGLAS,"Census Tract 141.37, Douglas County, Colorado",9813,3.6,54020,162864,180467
794,08035014127,DOUGLAS,"Census Tract 141.27, Douglas County, Colorado",5289,2.9,62992,163226,190909
795,08035014125,DOUGLAS,"Census Tract 141.25, Douglas County, Colorado",5123,1.8,73670,125536,170705
796,08035014005,DOUGLAS,"Census Tract 140.05, Douglas County, Colorado",5008,1.2,50662,115625,141727
797,08035014007,DOUGLAS,"Census Tract 140.07, Douglas County, Colorado",3374,4.3,47458,87938,98252
798,08035014011,DOUGLAS,"Census Tract 140.11, Douglas County, Colorado",5608,2.7,59614,142589,161833
799,08035014506,DOUGLAS,"Census Tract 145.06, Douglas County, Colorado",5410,1.8,62495,148750,187865
800,08035014604,DOUGLAS,"Census Tract 146.04, Douglas County, Colorado",4245,3.6,41788,117049,128613
