OBJECTID,FIPS,County,Tract_Name,Population_Total,Percent_Poverty_AllPeople_Income_Below_Pov_Level,Poverty_Per_Capita_Income,Housing_Poverty_Median_Household_Income,Housing_Poverty_Mean_Household_Income
328,08059009828,JEFFERSON,"Census Tract 98.28, Jefferson County, Colorado",5802,3.3,40373,78558,102866
329,08059010205,JEFFERSON,"Census Tract 102.05, Jefferson County, Colorado",2423,2.6,48323,108424,119877
330,08059010303,JEFFERSON,"Census Tract 103.03, Jefferson County, Colorado",5562,3.4,38348,80310,94324
331,08087000600,MORGAN,"Census Tract 6, Morgan County, Colorado",6518,8.8,20753,60048,58184
332,08087000200,MORGAN,"Census Tract 2, Morgan County, Colorado",2915,7.9,27694,56172,73588
333,08087000100,MORGAN,"Census Tract 1, Morgan County, Colorado",2794,11.3,30862,74427,84862
334,08087000500,MORGAN,"Census Tract 5, Morgan County, Colorado",2664,8,23802,56125,68734
335,08087000800,MORGAN,"Census Tract 8, Morgan County, Colorado",1719,7.4,33578,68370,74851
336,08087000400,MORGAN,"Census Tract 4, Morgan County, Colorado",3963,8.4,25331,43365,58013
337,08087000300,MORGAN,"Census Tract 3, Morgan County, Colorado",1973,9.1,27203,50329,69903
338,08087000700,MORGAN,"Census Tract 7, Morgan County, Colorado",5971,19.5,22999,44559,56617
339,08059009830,JEFFERSON,"Census Tract 98.30, Jefferson County, Colorado",2245,6.8,41254,69135,87466
340,08059009829,JEFFERSON,"Census Tract 98.29, Jefferson County, Colorado",1841,5.9,49460,115313,134587
341,08059010212,JEFFERSON,"Census Tract 102.12, Jefferson County, Colorado",4130,15.4,30504,68056,74588
342,08059009824,JEFFERSON,"Census Tract 98.24, Jefferson County, Colorado",4750,9,37830,86042,97960
343,08059009823,JEFFERSON,"Census Tract 98.23, Jefferson County, Colorado",4829,5.4,39929,98309,107713
344,08059010208,JEFFERSON,"Census Tract 102.08, Jefferson County, Colorado",5743,11.9,34967,78299,90333
345,08059010213,JEFFERSON,"Census Tract 102.13, Jefferson County, Colorado",4809,7.8,31159,67134,79222
346,08059010304,JEFFERSON,"Census Tract 103.04, Jefferson County, Colorado",2769,5.8,37343,77857,89350
347,08059009839,JEFFERSON,"Census Tract 98.39, Jefferson County, Colorado",2379,1.8,39765,107396,112489
348,08059060300,JEFFERSON,"Census Tract 603, Jefferson County, Colorado",4801,1.3,39935,102022,113049
349,08059060500,JEFFERSON,"Census Tract 605, Jefferson County, Colorado",7753,2.7,56970,141708,149463
350,08059060400,JEFFERSON,"Census Tract 604, Jefferson County, Colorado",3613,5.3,44173,97426,107907
351,08059009851,JEFFERSON,"Census Tract 98.51, Jefferson County, Colorado",3999,4,52983,120000,145595
352,08059009837,JEFFERSON,"Census Tract 98.37, Jefferson County, Colorado",6533,0.6,60692,152713,177920
353,08059009838,JEFFERSON,"Census Tract 98.38, Jefferson County, Colorado",4904,0,62152,137473,164599
354,08059009827,JEFFERSON,"Census Tract 98.27, Jefferson County, Colorado",6218,6.4,44311,68537,110733
355,08059009815,JEFFERSON,"Census Tract 98.15, Jefferson County, Colorado",5395,1.1,50802,133793,143911
356,08059009808,JEFFERSON,"Census Tract 98.08, Jefferson County, Colorado",6024,12.3,55775,96543,124572
357,08059009840,JEFFERSON,"Census Tract 98.40, Jefferson County, Colorado",3664,3.8,38266,75982,87975
358,08059009836,JEFFERSON,"Census Tract 98.36, Jefferson County, Colorado",4016,3,54143,125087,143276
359,08115968300,SEDGWICK,"Census Tract 9683, Sedgwick County, Colorado",2322,19,27527,43150,64634
360,08059010211,JEFFERSON,"Census Tract 102.11, Jefferson County, Colorado",3457,8.2,46459,73182,118701
361,08059010307,JEFFERSON,"Census Tract 103.07, Jefferson County, Colorado",5110,13.8,33455,60451,78967
362,08059010306,JEFFERSON,"Census Tract 103.06, Jefferson County, Colorado",2823,5.5,32252,70903,79587
363,08059009841,JEFFERSON,"Census Tract 98.41, Jefferson County, Colorado",2202,3.8,46209,109000,114573
364,08095967600,PHILLIPS,"Census Tract 9676, Phillips County, Colorado",3050,4.5,27323,52973,69146
365,08095967700,PHILLIPS,"Census Tract 9677, Phillips County, Colorado",1240,10,24454,44464,56604
366,08013013003,BOULDER,"Census Tract 130.03, Boulder County, Colorado",7365,4.1,73667,106118,190142
367,08013013401,BOULDER,"Census Tract 134.01, Boulder County, Colorado",3140,14.7,27996,42010,57300
368,08013013503,BOULDER,"Census Tract 135.03, Boulder County, Colorado",5325,14.6,26380,56477,69813
369,08013013006,BOULDER,"Census Tract 130.06, Boulder County, Colorado",6072,6.3,44192,104052,114132
370,08013012203,BOULDER,"Census Tract 122.03, Boulder County, Colorado",7569,13.9,55363,62334,103262
371,08013013402,BOULDER,"Census Tract 134.02, Boulder County, Colorado",8149,14.8,34362,73413,87653
372,08013013210,BOULDER,"Census Tract 132.10, Boulder County, Colorado",5335,9.6,27440,68125,74158
373,08013013302,BOULDER,"Census Tract 133.02, Boulder County, Colorado",5068,9.9,43831,71721,88904
374,08013013307,BOULDER,"Census Tract 133.07, Boulder County, Colorado",4073,8.3,30815,63281,73946
375,08013013308,BOULDER,"Census Tract 133.08, Boulder County, Colorado",3492,13.9,35861,52031,70644
376,08013012510,BOULDER,"Census Tract 125.10, Boulder County, Colorado",4192,3.8,73804,109063,167339
377,08013012907,BOULDER,"Census Tract 129.07, Boulder County, Colorado",3681,8.7,47571,90057,112632
378,08013013305,BOULDER,"Census Tract 133.05, Boulder County, Colorado",5425,14.6,30919,67835,79366
379,08013060900,BOULDER,"Census Tract 609, Boulder County, Colorado",4608,8.1,40958,78194,96179
380,08013012509,BOULDER,"Census Tract 125.09, Boulder County, Colorado",3328,5.7,59296,130111,153660
381,08013013208,BOULDER,"Census Tract 132.08, Boulder County, Colorado",6638,2,40012,83750,95815
382,08013012701,BOULDER,"Census Tract 127.01, Boulder County, Colorado",5911,2,66463,132829,162162
